Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Occitanie,314336,324490,335282,326554,330113,314229,335506,341436,388843,395054,380031,367465,379627,318698,232459,219071,190240,123819,54246,12379,5683878,160905,166232,172135,167463,166461,156372,165715,168142,191805,193789,184679,177981,182615,151247,108264,96583,76891,42671,15831,2487,2748268,153431,158258,163147,159091,163652,157857,169791,173294,197038,201265,195352,189484,197012,167451,124195,122488,113349,81148,38415,9892,2935610
PaysdelaLoire,230160,241631,239416,221514,206617,204053,224567,231787,251411,245171,239460,230846,235451,179784,131872,130550,108081,71492,30038,6951,3660852,117889,123356,122050,113344,106260,102170,112701,116120,126550,122021,118116,113193,113301,85554,60030,56195,41779,24221,8272,1254,1784376,112271,118275,117366,108170,100357,101883,111866,115667,124861,123150,121344,117653,122150,94230,71842,74355,66302,47271,21766,5697,1876476
Provence-Alpes-Côted'Azur,280570,281056,289121,285145,281561,273990,290889,297098,339362,347957,330324,315799,320874,285455,216959,192388,161353,105586,46816,11372,4953675,144213,143675,148363,146169,142729,134811,141790,144528,164973,167517,158897,150006,151677,133565,99920,83717,63881,35606,13191,2136,2371364,136357,137381,140758,138976,138832,139179,149099,152570,174389,180440,171427,165793,169197,151890,117039,108671,97472,69980,33625,9236,2582311
Francemétropolitaine,3878245,3926927,3939597,3768327,3838311,3823406,4007187,4045158,4425542,4401907,4239759,4071977,4029597,3164486,2318433,2186894,1837760,1180302,501425,112625,63697865,1984069,2009500,2017921,1928418,1936222,1888988,1975615,2011713,2200422,2172448,2075818,1972249,1940159,1504761,1063107,931865,707482,388106,136640,20506,30866009,1894176,1917427,1921676,1839909,1902089,1934418,2031572,2033445,2225120,2229459,2163941,2099728,2089438,1659725,1255326,1255029,1130278,792196,364785,92119,32831856
Guadeloupe,23930,28665,30901,28624,21165,18145,19907,25828,30683,32308,30742,26478,23681,18880,14311,11491,7853,5132,2432,963,402119,12125,14479,15738,14466,10871,8190,8136,10711,13306,14561,14473,12099,10781,8698,6558,4895,3020,1842,842,286,186077,11805,14186,15163,14158,10294,9955,11771,15117,17377,17747,16269,14379,12900,10182,7753,6596,4833,3290,1590,677,216042
Martinique,21186,24304,26650,25176,20596,18235,17980,22519,29053,32357,31566,27011,23564,18752,15061,13227,9106,5454,2642,1112,385551,10812,12181,13470,12916,10542,8031,7652,9527,12601,14419,14548,12522,10678,8708,6787,5870,3594,2016,818,263,177955,10374,12123,13180,12260,10054,10204,10328,12992,16452,17938,17018,14489,12886,10044,8274,7357,5512,3438,1824,849,207596
Guyane,28241,28592,26503,21485,17401,17354,18477,17087,16538,13792,11611,9176,6781,4437,2576,1800,1193,657,313,104,244118,14457,14633,13532,10852,8676,8106,8819,8384,8121,6907,5822,4713,3449,2356,1185,752,544,211,93,41,121653,13784,13959,12971,10633,8725,9248,9658,8703,8417,6885,5789,4463,3332,2081,1391,1048,649,446,220,63,122465
LaRéunion,63481,68450,71017,65780,57786,52528,52694,56888,62701,65394,55913,47817,35923,26218,20256,15182,9023,5355,2034,663,835103,32283,35180,36264,33664,28319,24663,23961,26316,30191,31427,27106,23467,17341,12613,9045,6259,3440,1569,504,119,403731,31198,33270,34753,32116,29467,27865,28733,30572,32510,33967,28807,24350,18582,13605,11211,8923,5583,3786,1530,544,431372
DOM,136838,150011,155071,141065,116948,106262,109058,122322,138975,143851,129832,110482,89949,68287,52204,41700,27175,16598,7421,2842,1866891,69677,76473,79004,71898,58408,48990,48568,54938,64219,67314,61949,52801,42249,32375,23575,17776,10598,5638,2257,709,889416,67161,73538,76067,69167,58540,57272,60490,67384,74756,76537,67883,57681,47700,35912,28629,23924,16577,10960,5164,2133,977475
FrancemétropolitaineetDOM,4015083,4076938,4094668,3909392,3955259,3929668,4116245,4167480,4564517,4545758,4369591,4182459,4119546,3232773,2370637,2228594,1864935,1196900,508846,115467,65564756,2053746,2085973,2096925,2000316,1994630,1937978,2024183,2066651,2264641,2239762,2137767,2025050,1982408,1537136,1086682,949641,718080,393744,138897,21215,31755425,1961337,1990965,1997743,1909076,1960629,1991690,2092062,2100829,2299876,2305996,2231824,2157409,2137138,1695637,1283955,1278953,1146855,803156,369949,94252,33809331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:Insee-Estimationsdepopulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
