Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
PaysdelaLoire,196522,227771,254471,253155,224348,198519,215222,232854,241979,249026,250401,245153,238114,229230,221954,143661,106851,85068,43333,15464,3873096,100135,116666,130779,130638,115839,99420,107059,114955,119989,124542,125121,120553,114515,108315,102751,63851,44303,31283,12554,3275,1886543,96387,111105,123692,122517,108509,99099,108163,117899,121990,124484,125280,124600,123599,120915,119203,79810,62548,53785,30779,12189,1986553
Provence-Alpes-Côted'Azur,257991,287575,300271,292020,270870,254701,289010,307718,313984,318590,339901,346469,326839,309322,306145,236923,168436,121705,61899,20818,5131187,132096,147356,154153,150080,138936,126462,139733,147564,151340,155017,163272,165048,154146,142427,139389,104323,70685,45547,18894,4331,2450799,125895,140219,146118,141940,131934,128239,149277,160154,162644,163573,176629,181421,172693,166895,166756,132600,97751,76158,43005,16487,2680388
Francemétropolitaine,3401295,3833417,4089693,4048737,3819933,3582749,3906292,4071464,4110444,4191587,4314320,4279193,4041172,3791454,3626590,2467309,1774755,1347390,694945,234715,65627454,1736887,1960536,2094917,2080960,1953542,1784873,1912905,1980821,2016384,2075481,2129677,2085627,1931463,1772143,1675464,1099665,735170,485003,201065,47627,31760210,1664408,1872881,1994776,1967777,1866391,1797876,1993387,2090643,2094060,2116106,2184643,2193566,2109709,2019311,1951126,1367644,1039585,862387,493880,187088,33867244
Guadeloupe,18516,20498,23250,24704,19642,16428,18004,18223,19138,25392,28610,31478,28059,24664,20230,14863,9683,6912,3107,1538,372939,9356,10110,11596,12544,10143,7580,7806,7387,7737,10587,12272,14183,13379,11331,9137,6482,3971,2551,892,435,169479,9160,10388,11654,12160,9499,8848,10198,10836,11401,14805,16338,17295,14680,13333,11093,8381,5712,4361,2215,1103,203460
Martinique,15725,17399,19936,20845,17446,14946,16963,17263,16954,21609,28334,31549,29202,24798,19777,14685,10841,7308,3382,1411,350373,7962,8712,9978,10597,8842,6801,7347,7133,6991,9150,12240,14178,13837,11464,8877,6495,4417,2814,1127,315,159277,7763,8687,9958,10248,8604,8145,9616,10130,9963,12459,16094,17371,15365,13334,10900,8190,6424,4494,2255,1096,191096
Guyane,30584,30494,30431,27770,22386,19075,19933,20450,18833,16673,14869,12832,10463,7784,5210,3234,1743,979,429,264,294436,15228,15186,15253,13768,10924,8402,9113,9145,8975,7866,7286,6225,5088,3883,2507,1551,774,387,144,57,141762,15356,15308,15178,14002,11462,10673,10820,11305,9858,8807,7583,6607,5375,3901,2703,1683,969,592,285,207,152674
LaRéunion,57556,62916,66572,65591,52829,46535,51380,54142,54649,56393,62296,63680,51671,43867,30665,20892,13954,8159,3637,1462,868846,29029,31346,33422,33471,26187,21215,23174,23782,24522,26100,29535,30910,24782,20681,14029,9188,5411,2935,1117,309,411145,28527,31570,33150,32120,26642,25320,28206,30360,30127,30293,32761,32770,26889,23186,16636,11704,8543,5224,2520,1153,457701
Mayotte,47067,43945,40028,29905,19305,19945,20490,19873,16688,13425,8729,7071,4916,3367,1902,1341,739,375,124,113,299348,23781,21622,19731,14459,8121,8031,8462,8823,7845,7075,4464,3665,2603,1797,920,640,364,159,60,48,142670,23286,22323,20297,15446,11184,11914,12028,11050,8843,6350,4265,3406,2313,1570,982,701,375,216,64,65,156678
DOM,169448,175252,180217,168815,131608,116929,126770,129951,126262,133492,142838,146610,124311,104480,77784,55015,36960,23733,10679,4788,2185942,85356,86976,89980,84839,64217,52029,55902,56270,56070,60778,65797,69161,59689,49156,35470,24356,14937,8846,3340,1164,1024333,84092,88276,90237,83976,67391,64900,70868,73681,70192,72714,77041,77449,64622,55324,42314,30659,22023,14887,7339,3624,1161609
FrancemétropolitaineetDOM,3570743,4008669,4269910,4217552,3951541,3699678,4033062,4201415,4236706,4325079,4457158,4425803,4165483,3895934,3704374,2522324,1811715,1371123,705624,239503,67813396,1822243,2047512,2184897,2165799,2017759,1836902,1968807,2037091,2072454,2136259,2195474,2154788,1991152,1821299,1710934,1124021,750107,493849,204405,48791,32784543,1748500,1961157,2085013,2051753,1933782,1862776,2064255,2164324,2164252,2188820,2261684,2271015,2174331,2074635,1993440,1398303,1061608,877274,501219,190712,35028853
