Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Occitanie,312177,333425,338410,336269,326102,320659,338608,335651,384610,391265,390919,371999,375714,359101,247005,215129,192239,128431,63683,12789,5774185,159492,171061,173566,172521,164857,158825,166379,165201,189424,192457,190996,179696,180711,170193,115522,95600,78717,45624,18347,2726,2791915,152685,162364,164844,163748,161245,161834,172229,170450,195186,198808,199923,192303,195003,188908,131483,119529,113522,82807,45336,10063,2982270
PaysdelaLoire,225164,245890,247891,228531,202336,205125,225495,224630,255630,245324,242247,233324,232134,212606,133455,129629,110573,74339,36911,7278,3718512,115153,125522,126702,116786,103545,102359,112342,112492,128130,122867,119711,114386,111654,101242,61342,56315,43730,25408,10406,1391,1811483,110011,120368,121189,111745,98791,102766,113153,112138,127500,122457,122536,118938,120480,111364,72113,73314,66843,48931,26505,5887,1907029
Provence-Alpes-Côted'Azur,278973,287195,289166,285765,269737,277321,294622,290316,332923,342413,342065,322619,317670,310452,233821,192435,164967,109289,54510,11718,5007977,143179,147213,147890,146778,136898,137346,143082,141005,162101,165010,164737,153809,149871,144892,107736,84799,66628,37902,15176,2299,2398351,135794,139982,141276,138987,132839,139975,151540,149311,170822,177403,177328,168810,167799,165560,126085,107636,98339,71387,39334,9419,2609626
Francemétropolitaine,3820594,3989352,3987174,3854658,3706730,3844761,4018562,3921307,4408327,4352770,4318989,4109186,3979695,3630899,2390025,2172088,1864561,1223848,590959,116336,64300821,1950750,2041592,2039782,1974632,1874031,1897676,1972410,1941097,2192856,2150602,2118435,1988065,1908023,1725584,1104971,941542,728777,412572,161042,22947,31147386,1869844,1947760,1947392,1880026,1832699,1947085,2046152,1980210,2215471,2202168,2200554,2121121,2071672,1905315,1285054,1230546,1135784,811276,429917,93389,33153435
Guadeloupe,22987,27177,29953,27940,20468,18316,19448,21641,29706,31374,32029,27602,24176,20839,14957,12051,8480,5297,2578,971,397990,11589,13793,15305,14109,10444,8128,7945,8782,12782,13843,14796,12900,10960,9562,6653,5252,3382,1874,824,287,183210,11398,13384,14648,13831,10024,10188,11503,12859,16924,17531,17233,14702,13216,11277,8304,6799,5098,3423,1754,684,214780
Martinique,19737,23383,25303,24210,19423,18063,18089,19472,26693,31030,32805,28287,25046,20671,15463,13514,9733,5806,3003,1146,380877,10124,11850,12844,12579,9942,8191,7700,8252,11525,13814,14953,13171,11375,9503,7030,5940,4054,2056,906,268,176077,9613,11533,12459,11631,9481,9872,10389,11220,15168,17216,17852,15116,13671,11168,8433,7574,5679,3750,2097,878,204800
Guyane,29043,29696,28785,23287,18269,17982,19238,18032,17786,15153,12309,10107,7745,5134,3042,1800,1280,714,359,104,259865,14790,15174,14463,11835,8939,8351,9157,8605,8819,7735,6119,5108,3978,2626,1464,817,510,271,89,32,128882,14253,14522,14322,11452,9330,9631,10081,9427,8967,7418,6190,4999,3767,2508,1578,983,770,443,270,72,130983
LaRéunion,63243,69538,71870,66283,55580,51864,52812,55695,60223,65384,60946,50232,41253,29221,21518,16384,9911,5499,2589,682,850727,32076,35729,36943,34072,27711,23974,24157,25339,28598,31415,29629,24403,19827,13960,9866,6790,3760,1713,652,148,410762,31167,33809,34927,32211,27869,27890,28655,30356,31625,33969,31317,25829,21426,15261,11652,9594,6151,3786,1937,534,439965
Mayotte,36480,34077,31049,23195,14973,15470,15896,15416,12942,10415,6767,5489,3813,2609,1477,1038,573,291,110,109,232189,18427,16765,15306,11216,6299,6228,6566,6845,6085,5488,3460,2845,2020,1393,714,495,285,130,53,46,110666,18053,17312,15743,11979,8674,9242,9330,8571,6857,4927,3307,2644,1793,1216,763,543,288,161,57,63,121523
DOM,171490,183871,186960,164915,128713,121695,125483,130256,147350,153356,144856,121717,102033,78474,56457,44787,29977,17607,8639,3012,2121648,87006,93311,94861,83811,63335,54872,55525,57823,67809,72295,68957,58427,48160,37044,25727,19294,11991,6044,2524,781,1009597,84484,90560,92099,81104,65378,66823,69958,72433,79541,81061,75899,63290,53873,41430,30730,25493,17986,11563,6115,2231,1112051
FrancemétropolitaineetDOM,3992084,4173223,4174134,4019573,3835443,3966456,4144045,4051563,4555677,4506126,4463845,4230903,4081728,3709373,2446482,2216875,1894538,1241455,599598,119348,66422469,2037756,2134903,2134643,2058443,1937366,1952548,2027935,1998920,2260665,2222897,2187392,2046492,1956183,1762628,1130698,960836,740768,418616,163566,23728,32156983,1954328,2038320,2039491,1961130,1898077,2013908,2116110,2052643,2295012,2283229,2276453,2184411,2125545,1946745,1315784,1256039,1153770,822839,436032,95620,34265486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:Insee-Estimationsdepopulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
