Date;Region;Polluant;Industrielle;Fond;Trafic
2021-03-01;Bretagne;PM2.5;0;4378;744
2021-03-01;Pays de la Loire;PM10;3700;7370;717
2021-03-01;Pays de la Loire;NO;5922;9637;717
2021-03-01;Pays de la Loire;NO2;5922;9637;717
2021-03-01;Pays de la Loire;O3;0;9640;0
2021-03-01;Pays de la Loire;NOX as NO2;0;1482;0
2021-03-01;Pays de la Loire;PM2.5;999;4296;694
2021-03-01;Pays de la Loire;C6H6;0;0;709
2021-03-01;Pays de la Loire;SO2;6663;739;0
2021-03-01;Pays de la Loire;CO;0;0;714
2021-03-01;Bourgogne-Franche-Comté;PM10;738;10862;2215
2021-03-01;Bourgogne-Franche-Comté;NO;1487;7998;3472
2021-03-01;Bourgogne-Franche-Comté;NO2;1487;8005;3472
2021-03-01;Bourgogne-Franche-Comté;O3;0;12233;0
2021-03-01;Bourgogne-Franche-Comté;NOX as NO2;1487;8005;3472
2021-03-01;Bourgogne-Franche-Comté;PM2.5;0;4996;2216
2021-03-01;Bourgogne-Franche-Comté;SO2;1958;0;0
2021-03-01;Centre-Val de Loire;PM10;0;6675;2939
2021-03-01;Centre-Val de Loire;NO;0;7418;5935
2021-03-01;Centre-Val de Loire;NO2;0;7419;5935
2021-03-01;Centre-Val de Loire;O3;0;10401;0
2021-03-01;Centre-Val de Loire;NOX as NO2;0;7420;5936
2021-03-01;Centre-Val de Loire;PM2.5;0;7348;3637
2021-03-01;Centre-Val de Loire;CO;0;0;741
2021-03-01;Guadeloupe;PM10;0;2164;727
2021-03-01;Guadeloupe;NO;0;2172;739
2021-03-01;Guadeloupe;NO2;0;2152;739
2021-03-01;Guadeloupe;O3;0;2175;0
2021-03-01;Guadeloupe;NOX as NO2;0;2152;739
2021-03-01;Guadeloupe;PM2.5;0;686;0
2021-03-01;Guadeloupe;SO2;0;737;0
2021-03-01;La Réunion;PM10;0;2822;1197
2021-03-01;La Réunion;NO;0;1577;2102
2021-03-01;La Réunion;NO2;0;1577;2102
2021-03-01;La Réunion;O3;0;1508;0
2021-03-01;La Réunion;NOX as NO2;0;936;2102
2021-03-01;La Réunion;PM2.5;0;1428;639
2021-03-01;La Réunion;SO2;734;2101;0
2021-03-01;La Réunion;CO;0;0;672
2021-03-01;Martinique;PM10;0;2993;741
2021-03-01;Martinique;NO;0;2432;731
2021-03-01;Martinique;NO2;0;2419;731
2021-03-01;Martinique;O3;0;2305;0
2021-03-01;Martinique;NOX as NO2;0;2269;731
2021-03-01;Martinique;PM2.5;0;2032;0
2021-03-01;Martinique;SO2;742;0;0
2021-03-01;Guyane;PM10;0;2169;0
2021-03-01;Guyane;NO;0;1361;33
2021-03-01;Guyane;NO2;0;1361;33
2021-03-01;Guyane;O3;0;2178;0
2021-03-01;Guyane;NOX as NO2;0;0;33
2021-03-01;Guyane;PM2.5;0;733;0
2021-03-01;Corse;PM10;1350;2223;1427
2021-03-01;Corse;NO;1423;3619;1483
2021-03-01;Corse;NO2;1423;3619;1483
2021-03-01;Corse;O3;1445;3707;0
2021-03-01;Corse;NOX as NO2;1423;3619;1483
2021-03-01;Corse;PM2.5;0;2934;0
2021-03-01;Corse;SO2;0;867;878
2021-03-01;Mayotte;PM10;0;0;720
2021-03-01;Mayotte;NO;0;0;385
2021-03-01;Mayotte;NO2;0;0;385
2021-03-01;Mayotte;O3;0;0;373
2021-03-01;Mayotte;NOX as NO2;0;0;385
