LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,Value,Flag Codes,Flags
IND,India,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,2211.550555,,
IDN,Indonesia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,5584.096233,,
ISR,Israel,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,24876.12373,,
RUS,Russia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,7898.522926,,
SVN,Slovenia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,18949.22767,,
ZAF,South Africa,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,8029.394412,,
BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,3697.608663,,
G-7,G7,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,31803.27291,,
OECD,OECD - Total,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,25413.76248,,
COL,Colombia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,6883.218986,,
LVA,Latvia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,9042.502887,,
LTU,Lithuania,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,9436.062335,,
EA19,Euro area (19 countries),T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,26581.33793,,
CRI,Costa Rica,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,8581.044927,,
EU27_2020,European Union – 27 countries (from 01/02/2020),T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,23213.20691,,
AUS,Australia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,30800.45211,,
AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,31178.05141,,
BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,30281.66796,,
CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,30963.222,,
CZE,Czech Republic,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,18245.66901,,
DNK,Denmark,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,30639.95368,,
FIN,Finland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,28605.12287,,
FRA,France,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,28528.15611,,
DEU,Germany,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,29504.28925,,
GRC,Greece,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,22615.95743,,
HUN,Hungary,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,14526.38826,,
