"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","MEN","PC_LF","M","1991-03",11.3,
"ESP","HUR","MEN","PC_LF","M","1991-04",11.4,
"ESP","HUR","MEN","PC_LF","M","1991-05",11.4,
"ESP","HUR","MEN","PC_LF","M","1991-06",11.6,
"ESP","HUR","MEN","PC_LF","M","1991-07",11.8,
"ESP","HUR","MEN","PC_LF","M","1991-08",11.8,
"ESP","HUR","MEN","PC_LF","M","1991-09",11.9,
"ESP","HUR","MEN","PC_LF","M","1991-10",12.1,
"ESP","HUR","MEN","PC_LF","M","1991-11",12,
"ESP","HUR","MEN","PC_LF","M","1991-12",12,
"ESP","HUR","MEN","PC_LF","M","1992-01",12.1,
"ESP","HUR","MEN","PC_LF","M","1992-02",12.1,
"ESP","HUR","MEN","PC_LF","M","1992-03",12.3,
"ESP","HUR","MEN","PC_LF","M","1992-04",12.5,
"ESP","HUR","MEN","PC_LF","M","1992-05",12.6,
"ESP","HUR","MEN","PC_LF","M","1992-06",12.9,
"ESP","HUR","MEN","PC_LF","M","1992-07",13.2,
"ESP","HUR","MEN","PC_LF","M","1992-08",13.5,
"ESP","HUR","MEN","PC_LF","M","1992-09",13.9,
"ESP","HUR","MEN","PC_LF","M","1992-10",14.3,
"ESP","HUR","MEN","PC_LF","M","1992-11",14.7,
"ESP","HUR","MEN","PC_LF","M","1992-12",15.2,
"ESP","HUR","MEN","PC_LF","M","1993-01",15.5,
"ESP","HUR","MEN","PC_LF","M","1993-02",16,
"ESP","HUR","MEN","PC_LF","M","1993-03",16.5,
"ESP","HUR","MEN","PC_LF","M","1993-04",16.8,
"ESP","HUR","MEN","PC_LF","M","1993-05",16.9,
"ESP","HUR","MEN","PC_LF","M","1993-06",17.5,
"ESP","HUR","MEN","PC_LF","M","1993-07",17.8,
"ESP","HUR","MEN","PC_LF","M","1993-08",17.9,
"ESP","HUR","MEN","PC_LF","M","1993-09",18.1,
"ESP","HUR","MEN","PC_LF","M","1993-10",18.2,
"ESP","HUR","MEN","PC_LF","M","1993-11",18.3,
"ESP","HUR","MEN","PC_LF","M","1993-12",18.4,
"ESP","HUR","MEN","PC_LF","M","1994-01",18.6,
"ESP","HUR","MEN","PC_LF","M","1994-02",18.6,
"ESP","HUR","MEN","PC_LF","M","1994-03",18.4,
"ESP","HUR","MEN","PC_LF","M","1994-04",18.3,
"ESP","HUR","MEN","PC_LF","M","1994-05",18.2,
"ESP","HUR","MEN","PC_LF","M","1994-06",18.2,
"ESP","HUR","MEN","PC_LF","M","1994-07",18,
"ESP","HUR","MEN","PC_LF","M","1994-08",18,
"ESP","HUR","MEN","PC_LF","M","1994-09",17.8,
"ESP","HUR","MEN","PC_LF","M","1994-10",17.7,
"ESP","HUR","MEN","PC_LF","M","1994-11",17.5,
"ESP","HUR","MEN","PC_LF","M","1994-12",17.3,
"ESP","HUR","MEN","PC_LF","M","1995-01",16.9,
"ESP","HUR","MEN","PC_LF","M","1995-02",16.7,
"ESP","HUR","MEN","PC_LF","M","1995-03",16.4,
"ESP","HUR","MEN","PC_LF","M","1995-04",16.3,
"ESP","HUR","MEN","PC_LF","M","1995-05",16.3,
"ESP","HUR","MEN","PC_LF","M","1995-06",16.3,
"ESP","HUR","MEN","PC_LF","M","1995-07",16.4,
"ESP","HUR","MEN","PC_LF","M","1995-08",16.5,
"ESP","HUR","MEN","PC_LF","M","1995-09",16.6,
"ESP","HUR","MEN","PC_LF","M","1995-10",16.5,
"ESP","HUR","MEN","PC_LF","M","1995-11",16.5,
"ESP","HUR","MEN","PC_LF","M","1995-12",16.3,
"ESP","HUR","MEN","PC_LF","M","1996-01",16.3,
"ESP","HUR","MEN","PC_LF","M","1996-02",16.3,
"ESP","HUR","MEN","PC_LF","M","1996-03",16.2,
"ESP","HUR","MEN","PC_LF","M","1996-04",16.1,
"ESP","HUR","MEN","PC_LF","M","1996-05",16.1,
"ESP","HUR","MEN","PC_LF","M","1996-06",16,
"ESP","HUR","MEN","PC_LF","M","1996-07",15.8,
"ESP","HUR","MEN","PC_LF","M","1996-08",15.5,
"ESP","HUR","MEN","PC_LF","M","1996-09",15.5,
"ESP","HUR","MEN","PC_LF","M","1996-10",15.4,
"ESP","HUR","MEN","PC_LF","M","1996-11",15.3,
"ESP","HUR","MEN","PC_LF","M","1996-12",15.1,
"ESP","HUR","MEN","PC_LF","M","1997-01",14.9,
"ESP","HUR","MEN","PC_LF","M","1997-02",14.7,
"ESP","HUR","MEN","PC_LF","M","1997-03",14.6,
