,GoldDiff
1142,8356
1143,3983
1144,5794
1145,9351
1146,17436
1147,16960
1148,9800
1149,9806
1150,10628
1151,9117
1152,8520
1153,4005
1154,8904
1155,8021
1156,12227
1157,13285
1158,15049
1159,9820
1160,10556
1161,14316
1162,7867
1163,12672
1164,13610
1165,10423
1166,15016
1167,12443
1168,13688
1169,11651
1170,6760
1171,10702
1172,1947
1173,9726
1174,5111
1175,12479
1176,12477
1177,14149
1178,10912
1179,6354
1180,10062
1181,10932
1182,14357
1183,8914
1184,9047
1185,5951
1186,11286
1187,8847
1188,12484
1189,8101
1190,10287
1191,8256
1192,6994
1193,13718
1194,5389
1195,13870
1196,16330
1197,8542
1198,16809
1199,6781
1200,12111
1201,7908
1202,5915
1203,10912
1204,15390
1205,8598
1206,10977
1207,11622
1208,7867
1209,2705
1210,8580
1211,10614
1212,11924
1213,13901
1214,13177
1215,8114
1216,10113
1217,12742
1218,10389
1219,9569
1220,10823
1221,6309
1222,10480
1223,7515
1224,16618
1225,10796
1226,9021
1227,7602
1228,11507
1229,9924
1230,6761
1231,10259
1232,8443
1233,10236
1234,5775
1235,2427
1236,16275
1237,9159
1238,9948
1239,12180
1240,9695
1241,13333
1242,7612
1243,9127
1244,9271
1245,16913
1246,6873
1247,9026
1248,9642
1249,8041
1250,9907
1251,11986
1252,11493
1253,9825
1254,6875
1255,7648
1256,4750
1257,6323
1258,4532
1259,7942
1260,11971
1261,9988
1262,10305
1263,8013
1264,10580
1265,13008
1266,8733
1267,11414
1268,8008
1269,13902
1270,13055
1271,9152
1272,6041
1273,15148
1274,7251
1275,10006
1276,7403
1277,13126
1278,11835
1279,6751
1280,8879
1281,10220
1282,11124
1283,14875
1284,9379
1285,10455
1286,10003
1287,9512
1288,11610
1289,4818
1290,5085
1291,11384
1292,14731
1293,4468
1294,6627
1295,9283
1296,9922
1297,13008
1298,12472
1299,7716
1300,9276
1301,14132
1302,3184
1303,9649
1304,8449
1305,6260
1306,7626
1307,14957
1308,9718
1309,8053
1310,7940
1311,6041
1312,1614
1313,14286
1314,8638
1315,9711
1316,6423
1317,7790
1318,10173
1319,12096
1320,2319
1321,12874
1322,9374
1323,11463
1324,13537
1325,5755
1326,13068
1327,15800
1328,16663
1329,15161
1330,9876
1331,9499
1332,11669
1333,8013
1334,14636
1335,15310
1336,12745
1337,16751
1338,10520
1339,15021
1340,9549
1341,13781
1342,15580
1343,19987
1344,6800
1345,10125
1346,13682
1347,15104
1348,13231
1349,10931
1350,10016
1351,10105
1352,13148
1353,7822
1354,9139
1355,8480
1356,13280
1357,1730
1358,8277
1359,5761
1360,3248
1361,7221
1362,8650
1363,2762
1364,13430
1365,11632
1366,13752
1367,7041
1368,4611
1369,11673
1370,9625
1371,6533
1372,11420
1373,7357
1374,5959
1375,922
1376,10313
1377,17561
1378,15220
1379,9007
1380,9031
1381,7486
1382,11510
1383,11651
1384,11684
1385,11445
1386,6086
1387,16386
1388,12400
1389,4898
1390,12392
1391,1406
1392,13602
1393,14098
1394,8857
1395,11431
1396,9870
1397,15415
1398,11829
1399,9047
1400,8481
1401,13290
1402,10695
1403,11471
1404,8712
1405,6505
1406,7752
1407,7065
1408,7521
1409,10940
1410,9537
1411,10132
1412,4678
1413,12865
1414,12566
1415,8774
1416,6222
1417,12754
1418,11018
1419,9556
1420,7045
1421,7425
1422,12985
1423,7278
1424,5221
1425,11764
1426,9845
1427,9842
1428,10808
1429,5225
1430,8829
1431,6841
1432,5297
1433,11802
1434,5693
1435,11700
1436,6033
1437,5631
1438,5615
1439,6092
1440,6952
1441,11602
1442,419
1443,11309
1444,10628
1445,9299
1446,8162
1447,14871
1448,3950
1449,11378
1450,16775
1451,5890
1452,11644
1453,8478
1454,8042
1455,8542
1456,10567
1457,8003
1458,13794
1459,12022
1460,7257
1461,10634
1462,8132
1463,8357
1464,13931
1465,19432
1466,15432
1467,7265
1468,14996
1469,10084
1470,6907
1471,5533
1472,11618
1473,6415
1474,11708
1475,11966
1476,14075
1477,12371
1478,12113
1479,12672
1480,9115
1481,7032
1482,4014
1483,3532
1484,8742
1485,9733
1486,7519
1487,14802
1488,10894
1489,7494
1490,1507
1491,12618
1492,4372
1493,10299
1494,5164
1495,7163
1496,9704
1497,9655
1498,5505
1499,5305
1500,5035
1501,8047
1502,12414
1503,11975
1504,8136
1505,8735
1506,8547
1507,7058
1508,6049
1509,7848
1510,11670
1511,9521
1512,9535
1513,10336
1514,6844
1515,10203
1516,8337
1517,9850
1518,16250
1519,5005
1520,7313
1521,5524
1522,6327
1523,3502
1524,8752
1525,7909
1526,12701
1527,11121
1528,13769
1529,11414
1530,9439
1531,13760
1532,8693
1533,8903
1534,5050
1535,8536
1536,9173
1537,8725
1538,5431
1539,7364
1540,9163
1541,8333
1542,7147
1543,8342
1544,12782
1545,11862
1546,9408
1547,5700
1548,6108
1549,12927
1550,4308
1551,9869
1552,12481
1553,9716
1554,10624
1555,13570
1556,7337
1557,10446
1558,9169
1559,13781
1560,11691
1561,15493
1562,295
1563,7101
1564,8063
1565,13200
1566,3333
1567,7249
1568,6569
1569,14125
1570,7172
1571,14766
1572,12860
1573,12523
1574,9239
1575,10150
1576,8188
1577,9262
1578,8235
1579,10115
1580,4780
1581,6498
1582,6562
1583,9647
1584,3507
1585,7129
1586,8673
1587,10677
1588,5573
1589,14199
1590,5972
1591,8081
1592,9154
1593,5883
1594,10787
1595,9251
1596,9782
1597,17645
1598,11127
1599,16536
1600,11604
1601,16262
1602,7965
1603,7763
1604,8437
1605,5734
1606,6690
1607,13164
1608,12203
1609,2557
1610,11062
1611,6996
1612,13453
1613,7066
1614,13917
1615,9184
1616,11254
1617,8494
1618,5887
1619,13045
1620,15021
1621,9200
1622,9277
1623,5985
1624,17652
1625,10662
1626,3305
1627,17759
1628,9590
1629,12658
1630,9680
1631,9709
1632,10550
1633,14777
1634,10425
1635,11465
1636,17489
1637,9829
1638,6773
1639,11726
1640,12054
1641,6183
1642,6609
1643,12544
1644,4218
1645,12306
1646,13245
1647,9811
1648,12352
1649,11704
1650,5480
1651,9713
1652,7846
1653,13518
1654,3234
1655,11371
1656,4238
1657,11026
1658,5141
1659,4384
1660,8379
1661,9810
1662,2833
1663,9762
1664,13880
1665,10369
1666,8907
1667,9369
1668,5775
1669,9069
1670,10116
1671,7730
1672,11110
1673,9633
1674,12898
1675,19930
1676,12941
1677,12513
1678,7349
1679,6904
1680,1946
1681,16552
