,Challenger_WinRate,Grandmaster_WinRate,Master_WinRate
gragas,0.543918918918919,0.495364238410596,0.48201438848920863
graves,0.5450525152017689,0.5282093213409649,0.5039953508644487
gwen,0.5220588235294118,0.49855907780979825,0.4576271186440678
hecarim,0.3394495412844037,0.36046511627906974,0.46135148274185706
heimerdinger,0.4666666666666667,0.5022026431718062,0.5588633288227334
illaoi,0.23809523809523808,0.41935483870967744,0.463768115942029
irelia,0.5182250396196514,0.4633333333333333,0.44961089494163425
ivern,0.5362318840579711,0.5106382978723404,0.5210755813953488
janna,0.42318059299191374,0.5209731543624161,0.5216065985296755
jarvan iv,0.5209003215434084,0.4439252336448598,0.48519040902679833
jax,0.537117903930131,0.42162615255658004,0.4938317068679801
jayce,0.4792626728110599,0.4425587467362924,0.4719504240052185
jhin,0.49794238683127573,0.5305026842362128,0.4917098445595855
jinx,0.5016008537886874,0.509684770224079,0.4901883209368571
kai'sa,0.4889589905362776,0.517792676637442,0.4854318953979203
kalista,0.55893536121673,0.528344671201814,0.48659966499162477
karma,0.4808362369337979,0.4901070385987674,0.49316231255305104
karthus,0.5009596928982726,0.4693708609271523,0.4973014649190439
kassadin,0.38333333333333336,0.49061032863849763,0.4697696737044146
katarina,0.4695121951219512,0.5031315240083507,0.4948571428571429
kayle,0.5849056603773585,0.5068119891008175,0.5076427996781979
kayn,0.5015105740181269,0.5064047822374039,0.5069097888675623
kennen,0.5513626834381551,0.5339805825242718,0.4966532797858099
kha'zix,0.4990859232175503,0.46371463714637146,0.49497559575078953
kindred,0.5434782608695652,0.5263480392156863,0.5110595790224759
kled,0.6033333333333334,0.59958071278826,0.5233812949640287
kog'maw,0.4444444444444444,0.5345911949685535,0.5004812319538018
leblanc,0.49865951742627346,0.393048128342246,0.5054978619425778
lee sin,0.44260355029585796,0.447027027027027,0.4746701846965699
leona,0.44028520499108736,0.4581056466302368,0.48081963307124137
lillia,0.5258493353028065,0.5436241610738255,0.46539849130862576
lissandra,0.4885057471264368,0.5338709677419354,0.47256977863330124
lucian,0.495949594959496,0.4965753424657534,0.5042522120092775
lulu,0.4261501210653753,0.48494288681204567,0.5150706436420722
lux,0.4461538461538462,0.4585714285714286,0.4671908893709328
malphite,0.543046357615894,0.5481239804241436,0.49617238446271617
malzahar,0.40476190476190477,0.46206896551724136,0.4514959202175884
maokai,0.4788732394366197,0.45454545454545453,0.4841101694915254
master yi,0.5555555555555556,0.5054945054945055,0.4954710144927536
miss fortune,0.4963942307692308,0.4981167608286252,0.494042703786717
mordekaiser,0.4803001876172608,0.5085139318885449,0.4911937377690802
morgana,0.42,0.4019370460048426,0.46040438079191237
nami,0.4628099173553719,0.5,0.4550561797752809
nasus,0.44908180300500833,0.4868217054263566,0.496187439345626
nautilus,0.5897435897435898,0.398876404494382,0.5125887669464171
neeko,0.5378096479791395,0.5251515151515151,0.5123691722169362
nidalee,0.4619289340101523,0.4306569343065693,0.5012394645513139
nocturne,0.45185185185185184,0.49747899159663866,0.527592768791627
nunu & willump,0.6491935483870968,0.49266862170087977,0.501628664495114
olaf,0.6206896551724138,0.4942528735632184,0.4110807113543092
