"TIME","GEO","AIRPOL","Value"
"2013","Chypre","Particules < 10µm","37.3"
"2013","Lettonie","Particules < 10µm","21.4"
"2013","Lituanie","Particules < 10µm","23.9"
"2013","Luxembourg","Particules < 10µm","20.8"
"2013","Hongrie","Particules < 10µm","27.3"
"2013","Malte","Particules < 10µm",":"
"2013","Pays-Bas","Particules < 10µm","21.2"
"2013","Autriche","Particules < 10µm","24.6"
"2013","Pologne","Particules < 10µm","33.7"
"2013","Portugal","Particules < 10µm","22.5"
"2013","Roumanie","Particules < 10µm","28.1"
"2013","Slovénie","Particules < 10µm","24.9"
"2013","Slovaquie","Particules < 10µm",":"
"2013","Finlande","Particules < 10µm","11.4"
"2013","Suède","Particules < 10µm","14.9"
"2013","Islande","Particules < 10µm","11.5"
"2013","Norvège","Particules < 10µm","16.7"
"2013","Suisse","Particules < 10µm","18.9"
"2014","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","23.3"
"2014","Union européenne - 28 pays (2013-2020)","Particules < 10µm","22.6"
"2014","Belgique","Particules < 10µm","22.4"
"2014","Bulgarie","Particules < 10µm","41.2"
"2014","Tchéquie","Particules < 10µm","27.8"
"2014","Danemark","Particules < 10µm","18.7"
"2014","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","20.3"
"2014","Estonie","Particules < 10µm","15.4"
"2014","Irlande","Particules < 10µm","14.3"
"2014","Grèce","Particules < 10µm","25.8"
"2014","Espagne","Particules < 10µm","21"
"2014","France","Particules < 10µm","18.2"
"2014","Croatie","Particules < 10µm","29.7"
"2014","Italie","Particules < 10µm","26.9"
"2014","Chypre","Particules < 10µm","32.4"
"2014","Lettonie","Particules < 10µm","23.7"
"2014","Lituanie","Particules < 10µm","23.4"
"2014","Luxembourg","Particules < 10µm","20.7"
"2014","Hongrie","Particules < 10µm","28.2"
"2014","Malte","Particules < 10µm",":"
"2014","Pays-Bas","Particules < 10µm","21.2"
"2014","Autriche","Particules < 10µm","21.5"
"2014","Pologne","Particules < 10µm","35.1"
"2014","Portugal","Particules < 10µm","19.3"
"2014","Roumanie","Particules < 10µm","24.9"
"2014","Slovénie","Particules < 10µm","22.5"
"2014","Slovaquie","Particules < 10µm","24.5"
"2014","Finlande","Particules < 10µm","13.7"
"2014","Suède","Particules < 10µm","13.5"
"2014","Islande","Particules < 10µm",":"
"2014","Norvège","Particules < 10µm","15.1"
"2014","Suisse","Particules < 10µm",":"
"2015","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","24.1"
"2015","Union européenne - 28 pays (2013-2020)","Particules < 10µm","23.2"
"2015","Belgique","Particules < 10µm","21.4"
"2015","Bulgarie","Particules < 10µm","36.2"
"2015","Tchéquie","Particules < 10µm","24.3"
"2015","Danemark","Particules < 10µm","18.3"
"2015","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","18.9"
"2015","Estonie","Particules < 10µm","13.4"
"2015","Irlande","Particules < 10µm","13.2"
"2015","Grèce","Particules < 10µm","26.5"
"2015","Espagne","Particules < 10µm","23.5"
"2015","France","Particules < 10µm","20.5"
"2015","Croatie","Particules < 10µm","33.1"
"2015","Italie","Particules < 10µm","32.7"
"2015","Chypre","Particules < 10µm","34.9"
"2015","Lettonie","Particules < 10µm","19.9"
"2015","Lituanie","Particules < 10µm","21.7"
"2015","Luxembourg","Particules < 10µm","21.4"
"2015","Hongrie","Particules < 10µm","26.9"
"2015","Malte","Particules < 10µm",":"
"2015","Pays-Bas","Particules < 10µm","19.7"
"2015","Autriche","Particules < 10µm","20.8"
"2015","Pologne","Particules < 10µm","33"
"2015","Portugal","Particules < 10µm","20.1"
"2015","Roumanie","Particules < 10µm","27.7"
"2015","Slovénie","Particules < 10µm","27.7"
"2015","Slovaquie","Particules < 10µm","23.9"
"2015","Finlande","Particules < 10µm","11.3"
"2015","Suède","Particules < 10µm","12.2"
"2015","Islande","Particules < 10µm","10.8"
"2015","Norvège","Particules < 10µm","13.9"
"2015","Suisse","Particules < 10µm","17.4"
"2016","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","22"
"2016","Union européenne - 28 pays (2013-2020)","Particules < 10µm","21.5"
"2016","Belgique","Particules < 10µm","20.9"
"2016","Bulgarie","Particules < 10µm","36.8"
"2016","Tchéquie","Particules < 10µm","22.6"
"2016","Danemark","Particules < 10µm","15.1"
"2016","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","17.8"
"2016","Estonie","Particules < 10µm","12.3"
"2016","Irlande","Particules < 10µm","12.5"
"2016","Grèce","Particules < 10µm","29"
"2016","Espagne","Particules < 10µm","20.7"
"2016","France","Particules < 10µm","19.2"
"2016","Croatie","Particules < 10µm","34.7"
"2016","Italie","Particules < 10µm","27.5"
"2016","Chypre","Particules < 10µm","27.2"
"2016","Lettonie","Particules < 10µm","19"
"2016","Lituanie","Particules < 10µm","24.1"
"2016","Luxembourg","Particules < 10µm","22.1"
"2016","Hongrie","Particules < 10µm","25.3"
"2016","Malte","Particules < 10µm",":"
"2016","Pays-Bas","Particules < 10µm","19"
"2016","Autriche","Particules < 10µm","18.3"
"2016","Pologne","Particules < 10µm","31.3"
"2016","Portugal","Particules < 10µm","18.2"
"2016","Roumanie","Particules < 10µm","23.4"
"2016","Slovénie","Particules < 10µm","25.6"
"2016","Slovaquie","Particules < 10µm","20.7"
"2016","Finlande","Particules < 10µm","12.2"
"2016","Suède","Particules < 10µm","12.3"
"2016","Islande","Particules < 10µm","10.3"
"2016","Norvège","Particules < 10µm","13.1"
"2016","Suisse","Particules < 10µm","15"
"2017","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","22.6"
"2017","Union européenne - 28 pays (2013-2020)","Particules < 10µm","21.7"
"2017","Belgique","Particules < 10µm","20.4"
"2017","Bulgarie","Particules < 10µm","36.8"
"2017","Tchéquie","Particules < 10µm","23.9"
"2017","Danemark","Particules < 10µm","15.5"
"2017","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","17.6"
"2017","Estonie","Particules < 10µm","10.7"
"2017","Irlande","Particules < 10µm","11.5"
"2017","Grèce","Particules < 10µm","25.3"
"2017","Espagne","Particules < 10µm","22"
"2017","France","Particules < 10µm","19.1"
"2017","Croatie","Particules < 10µm","35.1"
"2017","Italie","Particules < 10µm","29"
"2017","Chypre","Particules < 10µm","29.2"
"2017","Lettonie","Particules < 10µm","17.2"
"2017","Lituanie","Particules < 10µm","22.8"
"2017","Luxembourg","Particules < 10µm","22.5"
"2017","Hongrie","Particules < 10µm","26.5"
"2017","Malte","Particules < 10µm",":"
"2017","Pays-Bas","Particules < 10µm","19.2"
"2017","Autriche","Particules < 10µm","19.1"
"2017","Pologne","Particules < 10µm","32.5"
"2017","Portugal","Particules < 10µm","18.5"
"2017","Roumanie","Particules < 10µm","26.6"
"2017","Slovénie","Particules < 10µm","24.8"
"2017","Slovaquie","Particules < 10µm","24.2"
"2017","Finlande","Particules < 10µm","10"
"2017","Suède","Particules < 10µm","11.8"
"2017","Islande","Particules < 10µm","14.8"
"2017","Norvège","Particules < 10µm","11.6"
"2017","Suisse","Particules < 10µm","15.3"
"2018","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","22.5"
"2018","Union européenne - 28 pays (2013-2020)","Particules < 10µm","21.6"
"2018","Belgique","Particules < 10µm","21.5"
"2018","Bulgarie","Particules < 10µm","33.8"
"2018","Tchéquie","Particules < 10µm","25.8"
"2018","Danemark","Particules < 10µm","18.3"
