"COUNTRY","Pays","SERIES","Séries","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","République tchèque","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","CZK","Couronne tchèque","0","Unités","2020","2020",444867.245879884,,
"CZE","République tchèque","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","CZK","Couronne tchèque","0","Unités","2020","2020",437975.324701025,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","DKK","Couronne danoise","0","Unités","2020","2020",355078.337777585,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","DKK","Couronne danoise","0","Unités","2020","2020",357443.260435456,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","DKK","Couronne danoise","0","Unités","2020","2020",365665.204408039,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","DKK","Couronne danoise","0","Unités","2020","2020",374793.809211935,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","DKK","Couronne danoise","0","Unités","2020","2020",383193.461156549,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","DKK","Couronne danoise","0","Unités","2020","2020",389688.953143467,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","DKK","Couronne danoise","0","Unités","2020","2020",396324.056790465,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","DKK","Couronne danoise","0","Unités","2020","2020",400643.356010196,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","DKK","Couronne danoise","0","Unités","2020","2020",406066.296022407,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","DKK","Couronne danoise","0","Unités","2020","2020",415911.52762306,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","DKK","Couronne danoise","0","Unités","2020","2020",420703.725805503,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","DKK","Couronne danoise","0","Unités","2020","2020",418524.551011016,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","DKK","Couronne danoise","0","Unités","2020","2020",417959.904019874,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","DKK","Couronne danoise","0","Unités","2020","2020",420677.96967257,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","DKK","Couronne danoise","0","Unités","2020","2020",428727.24443996,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","DKK","Couronne danoise","0","Unités","2020","2020",436263.474158028,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","DKK","Couronne danoise","0","Unités","2020","2020",436903.369751295,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","DKK","Couronne danoise","0","Unités","2020","2020",439290.914047229,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","DKK","Couronne danoise","0","Unités","2020","2020",442653.962931293,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","DKK","Couronne danoise","0","Unités","2020","2020",443979.830929953,,
"DNK","Danemark","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","DKK","Couronne danoise","0","Unités","2020","2020",447520.944312762,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","EUR","Euro","0","Unités","2020","2020",36051.9587323629,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","EUR","Euro","0","Unités","2020","2020",36241.596381365,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","EUR","Euro","0","Unités","2020","2020",36436.297657128,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","EUR","Euro","0","Unités","2020","2020",37128.7649167895,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","EUR","Euro","0","Unités","2020","2020",38354.1616514454,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","EUR","Euro","0","Unités","2020","2020",39186.1114959801,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","EUR","Euro","0","Unités","2020","2020",40009.2410441576,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","EUR","Euro","0","Unités","2020","2020",40550.3033304444,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","EUR","Euro","0","Unités","2020","2020",40895.3143442693,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","EUR","Euro","0","Unités","2020","2020",41248.8095028729,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","EUR","Euro","0","Unités","2020","2020",41826.7255772846,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","EUR","Euro","0","Unités","2020","2020",41847.4590261777,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","EUR","Euro","0","Unités","2020","2020",41890.7091583089,,
