Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;11;5;;;OUI;OUI;2022-03-10T17:51:28+01:00;;;
;;OUI;;18;5;;;OUI;OUI;2022-03-10T17:57:35+01:00;;;
;;OUI;;39;1;;;OUI;OUI;2022-03-10T17:58:28+01:00;;;
;;OUI;;48;1;;;OUI;OUI;2022-03-10T17:55:07+01:00;;;
;;OUI;;34;4;;;OUI;OUI;2022-03-10T17:58:49+01:00;;;
;;OUI;;0;0;;;OUI;OUI;2022-03-10T17:58:34+01:00;;;
;;OUI;;30;9;;;OUI;OUI;2022-03-10T17:58:00+01:00;;;
;;OUI;;34;0;;;OUI;OUI;2022-03-10T17:57:54+01:00;;;
;;OUI;;2;28;;;OUI;OUI;2022-03-10T17:58:23+01:00;;;
;;OUI;;1;59;;;OUI;OUI;2022-03-10T17:58:46+01:00;;;
;;OUI;;17;6;;;OUI;OUI;2022-03-10T17:58:34+01:00;;;
;;OUI;;4;29;;;OUI;OUI;2022-03-10T17:58:08+01:00;;;
;;OUI;;14;3;;;OUI;OUI;2022-03-10T17:53:05+01:00;;;
;;OUI;;12;23;;;OUI;OUI;2022-03-10T17:58:17+01:00;;;
;;OUI;;39;1;;;OUI;OUI;2022-03-10T17:58:45+01:00;;;
;;OUI;;50;3;;;OUI;OUI;2022-03-10T17:52:20+01:00;;;
;;OUI;;17;0;;;OUI;OUI;2022-03-10T17:58:39+01:00;;;
;;OUI;;2;10;;;OUI;OUI;2022-03-10T17:55:54+01:00;;;
;;OUI;;12;11;;;OUI;OUI;2022-03-10T17:58:11+01:00;;;
;;OUI;;22;12;;;OUI;OUI;2022-03-10T17:55:52+01:00;;;
;;OUI;;44;5;;;OUI;OUI;2022-03-10T17:58:36+01:00;;;
;;OUI;;22;2;;;OUI;OUI;2022-03-10T17:58:09+01:00;;;
;;OUI;;41;5;;;OUI;OUI;2022-03-10T17:57:52+01:00;;;
;;OUI;;24;11;;;OUI;OUI;2022-03-10T17:55:06+01:00;;;
;;OUI;;29;7;;;OUI;OUI;2022-03-10T17:54:09+01:00;;;
;;OUI;;14;3;;;OUI;OUI;2022-03-10T17:57:48+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2022-03-10T17:56:37+01:00;;;
;;OUI;;46;3;;;OUI;OUI;2022-03-10T17:57:33+01:00;;;
;;OUI;;37;2;;;OUI;OUI;2022-03-10T17:54:40+01:00;;;
;;OUI;;19;3;;;OUI;OUI;2022-03-10T17:52:39+01:00;;;
;;OUI;;54;4;;;OUI;OUI;2022-03-10T17:58:08+01:00;;;
;;OUI;;4;12;;;OUI;OUI;2022-03-10T17:56:36+01:00;;;
;;OUI;;26;19;;;OUI;OUI;2022-03-10T17:58:08+01:00;;;
;;OUI;;13;45;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;5;27;;;OUI;OUI;2022-03-10T17:56:44+01:00;;;
;;OUI;;30;0;;;OUI;OUI;2022-03-10T17:56:06+01:00;;;
;;OUI;;18;1;;;OUI;OUI;2022-03-10T17:52:30+01:00;;;
;;OUI;;26;38;;;OUI;OUI;2022-03-10T17:57:04+01:00;;;
;;OUI;;12;5;;;OUI;OUI;2022-03-10T17:58:24+01:00;;;
;;OUI;;26;9;;;OUI;OUI;2022-03-10T17:58:13+01:00;;;
