,year,region,total,men,women
132,2006.0,Provence-Alpes-Côted'Azur,4815232.0,2295663.0,2519569.0
133,2006.0,France métropolitaine,61399733.0,29714411.0,31685322.0
134,2006.0,Guadeloupe,400736.0,188772.0,211964.0
135,2006.0,Martinique,397732.0,185619.0,212113.0
136,2006.0,Guyane,205954.0,102032.0,103922.0
137,2006.0,La Réunion,781962.0,379210.0,402752.0
138,2006.0,DOM,1786384.0,855633.0,930751.0
139,2006.0,France métropolitaine et DOM,63186117.0,30570044.0,32616073.0
140,2007.0,Auvergne-Rhône-Alpes,7405206.0,3600760.0,3804446.0
141,2007.0,Bourgogne-Franche-Comté,2792562.0,1360927.0,1431635.0
142,2007.0,Bretagne,3120288.0,1514671.0,1605617.0
143,2007.0,Centre-Val-de-Loire,2526919.0,1228011.0,1298908.0
144,2007.0,Corse,299209.0,145635.0,153574.0
145,2007.0,Grand Est,5506616.0,2686710.0,2819906.0
146,2007.0,Hauts-de-France,5922030.0,2867834.0,3054196.0
147,2007.0,Île-de-France,11598866.0,5602411.0,5996455.0
148,2007.0,Normandie,3278145.0,1585457.0,1692688.0
149,2007.0,Nouvelle-Aquitaine,5627671.0,2713176.0,2914495.0
150,2007.0,Occitanie,5371117.0,2593477.0,2777640.0
151,2007.0,Pays de la Loire,3482594.0,1697147.0,1785447.0
152,2007.0,Provence-Alpes-Côted'Azur,4864015.0,2321362.0,2542653.0
153,2007.0,France métropolitaine,61795238.0,29917578.0,31877660.0
154,2007.0,Guadeloupe,400584.0,188325.0,212259.0
155,2007.0,Martinique,397730.0,184970.0,212760.0
156,2007.0,Guyane,213031.0,105546.0,107485.0
157,2007.0,La Réunion,794107.0,385335.0,408772.0
158,2007.0,DOM,1805452.0,864176.0,941276.0
159,2007.0,France métropolitaine et DOM,63600690.0,30781754.0,32818936.0
160,2008.0,Auvergne-Rhône-Alpes,7459092.0,3628373.0,3830719.0
161,2008.0,Bourgogne-Franche-Comté,2802519.0,1365513.0,1437006.0
162,2008.0,Bretagne,3149701.0,1529468.0,1620233.0
163,2008.0,Centre-Val-de-Loire,2531588.0,1230640.0,1300948.0
164,2008.0,Corse,302966.0,147832.0,155134.0
165,2008.0,Grand Est,5521452.0,2693221.0,2828231.0
166,2008.0,Hauts-de-France,5931091.0,2872438.0,3058653.0
167,2008.0,Île-de-France,11659260.0,5631385.0,6027875.0
168,2008.0,Normandie,3293092.0,1591747.0,1701345.0
169,2008.0,Nouvelle-Aquitaine,5671076.0,2732901.0,2938175.0
