DATAFLOW,LAST UPDATE,freq,tax,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2014,1.99,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2015,1.92,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2016,1.86,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2017,1.81,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2018,1.77,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2019,1.76,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DE,2020,1.71,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,1995,4.31,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,1996,4.54,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,1997,4.57,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,1998,5.26,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,1999,5.3,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2000,4.84,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2001,4.82,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2002,5,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2003,4.8,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2004,4.99,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2005,4.92,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2006,4.68,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2007,4.74,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2008,4.17,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2009,3.99,
