Country Name,alpha3,Series Name,Series Code,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,711.40957856021,642.768196831557,620.333123364606,623.815362351581,638.099006801712,758.745063152158,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,..,..,..,251.078348367302,398.79099821209,522.679624255226,514.385174425759,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.494441791273,982.96100777685,1255.56451325546,1902.42214975937,2599.56594793067,3121.99608528081,4080.94103372417,3122.7815987074,3587.88364462837,4615.46821863819,5100.09702685927,5254.88112606683,5408.41170002082,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1776.16686789531
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,5934073603.54849,5553824463.82274,5553824463.82274,5787823808.69565,6135166254.2408,7558613007.90635,7076793822.60201,8089279284.72241,8775116269.16722,10207922517.1839,11236275842.7358,..,..,..,3390500000,5561222222.22222,7526963963.96396,7649716157.20524,6506619144.60285,6152936539.21955,9129634978.33773,8936063723.20121,15285594828.418,17812705294.325,23552052407.5488,36970918699.2523,52381006892.038,65266452081.386,88538611205.1433,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,58375976292.9678
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,1246.69015964261,1416.54053131116,1760.83132448003,2124.61852648141,2392.68695794469,2660.55809143556,2948.31727549755,3372.60207005529,3899.39183968301,4703.17940118439,5463.59538268844,6454.83545091774,7076.53633490604,7347.64636864328,7602.34533414465,7745.72179961652,8136.18854727449,8771.14372746878,8406.35894515205,9030.5749776224,9491.66076559497,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500769,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,77496753.7037037,87879341.4814815,109079978.888889,131431026.666667,147841734.444444,164369278.888889,182144092.962963,208372846.296296,240923924.814815,290440140.740741,337174861.851852,398637727.777778,438794788.518519,459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,1372.37417356256,1408.86537993108,2097.02283010295,2844.86331235351,2027.33720222659,1948.22468587272,2129.70836077888,2146.36495899265,2520.92071606516,2758.83481652658,2776.32208825139,2927.89735685135,3553.37750879684,2659.70824247007,2926.12648531698,3613.62170927636,3562.87605875248,3985.19246874962,2383.86747065533,4333.48337168025,5735.3599805848,6823.53883710424,6969.11972904571,7483.14033425721,7408.70866363112,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,8579.01777315683
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9479,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.197,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,637.85592120941,590.505875579775,369.707232276548,357.202848575393,400.515593762192,456.374933276273,504.059842642233,523.284410700367,609.17165368466,597.432898792278,622.740922945281,694.423455373229,783.241214960091,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.86138084833,2994.34047090816,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6472.39870887477,7885.15892730063,9765.90920740626,11392.2691499861,12306.7176791493,13495.79430054,14045.4745656146,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.7504673528,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.6348596914,24631.1820522439,23513.527696809,24985.0139185797,24712.4932628907,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.8050189137,30253.2793580195,..,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,405463417.11746,487602457.746416,596423607.114715,695304363.031101,764887117.194486,872138715.083799,958463184.357542,1082979720.67039,1245688268.15642,1320474860.3352,1379960893.85475,1531944134.07821,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
